Sentence,Label
"Cool thanks Daniel we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)

Thanks
--tim",1
This is a great suggestion.,1
great thanks Joel.,1
Thanks for reporting solved!,1
it belongs to faces 1.2 :),1
"Ok cool this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp

There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)",1
cool no worries.,1
"Cool feature!

Performance:
 - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.",1
"Thanks Ram

That seems like a definite improvement.",1
Interesting that you decided not to detect the error based on finding two similarly-named operations.,1
It's OK.,1
"Hi Suran

The new catalogs_b.patch looks very good.",1
Nice feature lars!!,1
":)

I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",1
Looks like this is fixed :),1
Version 2.2.0RC3 is fine.,1
Sounds like a good idea.,1
Many thanks for your help.,1
Thank you!,1
I've tested them out and everything is fine.,1
Is that ok for this file (b/c I have no idea how to do the svn move now ... after I've made all the changes already) :),1
Thanks once again.,1
"bq. OK w/ the latest patch all tests pass for me! Great 
Awesome! :)",1
"Great! Awesome!

thanks
Dims",1
Great! Awesome work Nick and thanks for the clarification Bill. ,1
"Great work...this is awesome stuff.
",1
great. awesome job sergey!,1
Awesome - great stuff Maria.  Thanks!,1
Thanks for doing that Uma.,1
Wow!,1
Thanks Bryan!,1
Patch looks good to me.,1
Thanks Jeff!,1
It is good to have the test.,1
Thanks Owen!,1
Thanks!,1
Thanks Dhruba!,1
Patch applied with thanks!,1
Looks quite perfect after solving PDFBOX-490.,1
Thanks Ashish!,1
Many thanks Neeme.,1
Thanks for the help BJ!,1
thanks Tomas!,1
Thanks!,1
Applied patch with thanks to Scott.,1
Enjoy!,1
thanks to Ernst Fastl for adding this.,1
Thanks for the patch Mubarak.,1
Thanks Koji!,1
Long Life MyFacesssssssssss!,1
Looks good thanks Laura!,1
Thanks Ashish!,1
Thank you guys!,1
Thanks Ashutosh and Gunther for your help!,1
I really appreciate your comments and I really enjoy our discussions:),1
"Awesome work: this is a great first cut!
",1
Thanks to Edward and Brock for the reviews.,1
Looks good.,1
Thank you Ivan!,1
:D,1
"Thanks to both of you and to Deepesh for the initiative.
",1
Cool.,1
Sounds like a good idea. ,1
Cool that's all good news too! Thanks guys. One less on my radar.,1
cool man it looks good. we need a changes entry but from my side this looks good. we can tackle the todos on trunk,1
"Looks pretty cool. Fresh and minimalist. Love it :-)
Good work.",1
Cool will do!  Thanks for the review and good questions... and the whole idea! :),1
This looks good to me.,1
 Automatic location selection is very cool.,1
Thanks Tony.,1
Thanks for providing the patch.,1
Thank you!,1
Thanks Laura.,1
Thanks Kathey.,1
Thanks Adrien for looking into this nice explanation!,1
Super I'll commit shortly -- thanks Yonik!,1
Thanks a lot Jon for signing up this.,1
Thanks Sravya!,1
I like Richards update as well :) What I did was out of pure anger so it may not have been the sexiest.,1
Thanks [~cnauroth] & [~tomwhite] for the reviews!,1
Thanks for being patient Devaraj!,1
"Hi Bruno

I like it seems to work well at 1st glance

Thanks!",1
Thanks Adrian!,1
Thanks Bob your patch is in trunk at r932317,1
thanks again Uwe,1
"Best regards
Andrew",1
Thanks Alexei!,1
Thanks Myrna.,1
Thanks Tom!,1
"Thank you
+ Harit Himanshu


",1
"Thanks
Arvind",1
"Committed a slightly cleaned up version of the patch in revision: 1464605

Thanks for your help Todd.",1
"897392
Thanks Sharan !
",1
Thanks Karthik.,1
Thanks Andrew committed in rev.,1
thanks edgar for finding this one!,1
Thanks Ilya.,1
Thanks Jimmy.,1
Thank you Jing for the review.,1
Thanks Ravi!,1
Thanks Sandy.,1
"Hello Leo

The patch has been applied at revision r479576 thanks a lot for this enhancement please verify that the problem is fully fixed as you expected.",1
"Best regards
Richard",1
Thank you Jing.,1
Thanks for your work on this Allen!,1
Thank you.,1
"Forgot to mention:

Thanks to Alejandro and his team for pointing this one...",1
Thanks Karl.,1
Please contact me if you need any clarifications.,1
Thanks Tom!,1
thanks for the explanation.,1
Thanks Oliver that's fixed it. ,1
"Thanks a lot!

",1
"Adrian

thanks for the patch: rev.",1
"thanks
nandana",1
Thanks for review and test case Knut.,1
Thanks Suresh.,1
Thanks for your patience.,1
"Hi Atul
that looks good at a first glace.",1
Thank you Ravi.,1
+1 thanks Tom!,1
Thanks Joseph!,1
Thanks again for this really great patch Andrew.,1
"Hi Edward

Thanks for spotting it.",1
Thanks Andrew - the patch was applied to SQL module at r525019.,1
Thanks for taking care of this Alejandro.,1
"Fixed in svn revision 533916.

thanks
dims",1
Thanks Oliver.,1
Thanks a lot for your help!,1
"Cheers

Ashwin...",1
Thanks Martina.,1
Thanks Christian.,1
"Thanks for taking a look Jiannan
",1
mahadev - I would love to help test a patch :) I'm currently using 3.3.1 + ZOOKEEPER-744 + ZOOKEEPER-790 applied in that order.,1
"Thanks Atul

Your patch is in trunk at r933169

I just added some ""mod for OFBiz layered lookups"" comments around changes as suggested Sascha",1
Thanks for you work on this Jayachandra.,1
Thanks Areek new patch looks great; I'll commit shortly.,1
Thanks a lot Kiran for the patch.,1
"Thanks
Mayank",1
Thank you Thejas for the patch and Ivan for the review.,1
Thanks Alejandro .,1
"Thanks
Mayank",1
I would love it in 3.3.2 will upload a patch for that version.,1
Thanks Mike!,1
Thanks Ravi.,1
Sweet! Git I love git! :),1
Thanks Sijie.,1
Thank you for the patch Sergey. ,1
I love a solution that's simpler and easier to understand than the original.,1
"Hi Henry Thanks for checking it out. 
",1
In fact if you happen to know why ObserverHammerQuorumTest is failing with this latest patch I'd love to hear.,1
Thanks Jing!,1
That sounds like a plan. I love peer-reviews... :-),1
Thanks for the very clear explanation of the needed change Dag.,1
"Thanks for reminding me; I agree I'll do it.

",1
Thanks JinJie!,1
Thanks Brock!,1
Thanks Thomas!,1
"Thanks Divesh

Your patch is commited at revision: 762863  
",1
"Hi Sagara

Thank you very much for looking into this.",1
A pleasure :>.,1
Thanks Tom.,1
I would love to have it right now for storm too. If you want me to sign up as a use case I am happy to.,1
Thanks for the patch Erik (and Jon),1
Thanks for figuring this one out and providing the patch Jamie!,1
Ashutosh: thanks a lot for the comments.,1
Thanks for the quick patching Donald!,1
Thanks Bilgin  it is working fine now.,1
Thanks henry and pat... we'll have to re submit all the PA's so trigger hudson.,1
Thanks senaka for the patch.,1
Thank you very much Richard.,1
Thanks for the patch Niall +1,1
thanks henry!,1
"Taking it over

Thanks
Mayank",1
":)

Best regards
Fabian.",1
Thanks  Rishi Solanki  to review the patch.,1
Thanks Hari!,1
"Best regards
Richard",1
"Hello George

The fix looks fine many thanks!",1
"Best regards

Andrew",1
Thank you Brandon.,1
I really like what I am seeing so far.,1
This is quality work.,1
Thanks Dianne!,1
Thanks Elena.,1
Thanks Suresh,1
Thanks to both for these usability enhancements !,1
Thanks a lot for the reviews Todd.,1
Thanks Stepan.,1
Thanks Doug for the change.,1
Great investigations Doron!,1
"Thanks for your patience.
",1
Thanks Ivan.,1
"Hi Sandy
Thanks so much to give me such comments that's really helpful I will update this later.",1
ahhh sweet i'm guessing you have an IDE that does this? If the tests pass commit this kinda crap goes out of date too fast!,1
I want to integrate the sweet sweet logo Andrew crafted.,1
Thanks Oliver!,1
Thanks to Fabrizio for the patch.,1
Regex is your friend.,1
Thanks Awdesh - Done at r821748.,1
"Thanks Richard

Patch applied to NIO_CHAR module java.nio.CharsetEncoder at repo revision 389784.",1
Thanks Tom,1
Thanks for your comments Konstantin.,1
Marcelo thanks for pointing out this; it is now fixed in rev.,1
looks fine thank you.,1
Thanks for spotting this fixed at r487519,1
Thanks Areek patch looks good!,1
"Hi James

This patch has been applied by chirino in the revision 576522  at Sep 17.",1
This patch really helped.,1
It will be great if you could confirm it either way first.,1
Thanks Todd glad to be on board!,1
Sweet I will review and apply.,1
Thanks Amar!,1
Thanks for sweet patch Erik.,1
Owen thanks for the slides.,1
I'm glad we were able to resolve this issue.,1
Megan Glad to be of service : ),1
Thanks Andi.,1
Hi Daniel thanks in advance for your support.,1
Thanks Hairong!,1
Thank you very much for your effort David.,1
"Thanks in advance
Jens
",1
Aha thanks for the information. That makes sense. Glad to hear that it helped! :),1
Thanks for looking into this Suresh.,1
Thanks a lot for sharing that Josh!,1
Thanks a lot Subin.,1
Brilliant feedback thanks! I'm glad you found the issue and the solution!,1
Sweet :) You got there before me,1
bq. First of welcome :) Thank you. ,1
Thats sweet that you have the prior experience hacking this on top of a store already.,1
Excellent work Doğacan - thank you.,1
This looks simple and sweet to me.,1
Sweet kickstart for our new wiki!,1
"Hello

Thanks a lot!

It works.

Lisa
",1
Yes please - pull request away my friend!,1
If someone wants to take this over that's cool - I'm unlikely to have time in the next week and a half though.,0
It is a nasty bug that I've seen in real life though.,0
Yes exactly -- sorry to be so unclear.,0
I'm not sure what the problem is but the behavior (at least in 0.1.4) is that the _isClosed AtomicBoolean is not being set to closed in a timely manner.,0
Sorry for the delay and thanks for the good work works like a charm!,0
Sorry I thought submit patch was the way to attach a patch.,0
I don't have very much experience on branch0 would you like to take a shot at the port?,0
Especially I don't know very much about the test framework differences.,0
I will figure out the details and do the port later this week if you don't get to it first.,0
sorry unassigning myself from this backport.,0
Another backport (for a different jira) of mine is failing and I want to see if I can figure out what might be wrong there before doing a new backport.,0
"To upgrade to a recent version of Jackrabbit see http://wiki.apache.org/jackrabbit/BackupAndMigration
I'm afraid I can't say much about the risk.

",0
I've tried something similar (I removed the handlers and kept the readers) but the performance was not visible.,0
The responder seemed to be a bottleneck.,0
"But it was not the only issue: we also want to manage priorities between the tasks but we need to read them to get enough information to make the right priorities.
",0
While creating the DerbyTest I did notice that this problem is caused by the Database pool because it tries to connect to the database in the background.,0
Sorry [~fiberlijun] - havent had a chance to look at it yet.,0
(I could not get what KEYWORD means.),0
"I am checking out the dojo fixes and patching them in sorry for the delay it has been a long time
",0
"> then we don't save IO by limiting the buffer size to 1 KB

I'm confused by this.",0
"Seems to be failing for a different reason now

testContainerLaunch(org.apache.hadoop.yarn.server.nodemanager.TestLinuxContainerExecutorWithMocks)  Time elapsed: 0.523 sec  <<< FAILURE!",0
"Sorry for all the issue mails I forgot to mention the second:

2) There is commented source in the test should it be enabled or removed?",0
I'm very sorry.,0
"Sorry guys... :(
I was the reason for this trouble.",0
I should have been very careful before doing this.,0
My bad forgot to include the test file in the patch... Resubmitting in a second. ,0
*sorry*,0
Damn.,0
Git is tricky that way.,0
Sigh I don't like this overall if can't reuse everywhere.,0
Sorry to let you lose a wild goose chase.,0
You are going to kill me when I say this but it seems like we should just commit your first patch.,0
This half-reuse is more confusing for new devs who see this code for the first time.,0
Sorry probably a misunderstanding from my side....,0
I meet the same problem on Eclipse recently but haven't figured out how to get through.,0
"Sorry Chris

I missed it done !",0
One of the error is that hiddenActivations cannot be resolved.,0
I'm very busy for the moment so I didn't know when I 'd be able to the change myself so if you can your contribution would be one more time really appreciated.,0
Oh I didn't consider one flow like after the edit log conversion immediately #store failed.,0
I misunderstood the case and sorry for the confusion.,0
